,,,,,,
FLOW,$/VKT,@LN(flow),FLOW2,,,
1.0,0.0,0.0,F,,,
500.0,0.0,-0.6931471805599453,,,,
1000.0,0.00048,0.0,,,,
1500.0,0.00125,0.4054651081081644,,,,
2000.0,0.002,0.6931471805599453,,,,
2500.0,0.0028,0.9162907318741551,,,,
3000.0,0.0035,1.0986122886681098,,,,
3500.0,0.004200000000000001,1.252762968495368,,,,
4000.0,0.0049,1.3862943611198906,,,,
4500.0,0.00558463,1.5040773967762742,,,,
5000.0,0.0059657,1.6094379124341003,,,,
5500.0,0.00597,1.7047480922384253,,,,
6000.0,0.00598,1.791759469228055,,,,
7000.0,0.00599,1.9459101490553132,,,,
8000.0,0.005995,2.0794415416798357,,,,
9000.0,0.006,2.1972245773362196,,,,
10000.0,0.00607337,2.302585092994046,,,,
,,,,,,
,,Regression Output:,,,,
,Constant,,,0.0005422237555143505,,"assumptions: Interest = 0.07, Years=30, Home Value = $250K, Density = 360 HH/SQKM, Cost/dB(A) = 0.0062, Max distance=500 m."
,Std Err of Y Est,,,0.0005799671576570951,,
,R Squared,,,0.9189123198955557,,
,No. of Observations,,,15.0,,
,Degrees of Freedom,,,13.0,,
,,,b1,,,
,X Coefficient(s),,0.0028033332650377945,,,
,Std Err of Coef.,,0.00023096355469959598,,,
,,,12.137556804942518,,,
