Table 7.6 Comparison of Total Annual Costs Between Modes,,,,,,
,,,,,,
,San Francisco,Fresno,Fresno,Bakersfield,Bakersfield,
Mode,Los Angeles,San Francisco,Los Angeles,San Francisco,Los Angeles,TOTAL
High Speed Rail,1216758.5599999998,22293.51,57600.85,13136.97,18744.774999999998,1328534.665
Highway,595952.8096,18780.811751999998,40625.51183999999,9265.421088,15791.236579999997,680415.7908599998
Air,339190.86496,2096.0452968,9609.684616000002,2191.6714512,1762.391722,354850.65804600006
Highway + Air,935143.67456,20876.857048799997,50235.19645599999,11457.092539199999,17553.628301999997,1035266.4489059999
HSR deficit:,,,,,,
Highway + Air - High Speed Rail ,-281614.88543999987,-1416.6529512000016,-7365.653544000008,-1679.8774608000003,-1191.1466980000005,-293268.21609400015
,,,,,,
"note: comparison of total annual cost of diverted trips, see text for discussion",,,,,,
