Table 7.3 Highway Long Run Full Costs,,,,,,,
,,San Francisco,Fresno,Fresno,Bakersfield,Bakersfield,
,,Los Angeles,San Francisco,Los Angeles,San Francisco,Los Angeles,TOTAL
,,,,,,,
,HSR pkt/year ('000),5177696.0,94866.0,245110.0,55902.0,79765.0,5653339.0
,percent diverted from Highway,0.5,0.86,0.72,0.72,0.86,0.5228342577722652
,Highway Diverted pkt/year ('000),2588848.0,81584.76,176479.19999999998,40249.439999999995,68597.9,2955759.3
,Distance (km),677.0,291.0,386.0,462.0,215.0,
,,,,,,,
Cost Category,Average Cost,,,,,,
Infrastructure: Construction and Maintenance,0.012,31066.176,979.01712,2117.7504,482.99327999999997,823.1747999999999,35469.1116
         (roadbed),,,,,,,
,,,,,,,
External: Accidents,0.02,51776.96,1631.6951999999999,3529.584,804.9888,1371.9579999999999,59115.185999999994
External: Congestion,0.0046,11908.7008,375.28989599999994,811.80432,185.14742399999997,315.55033999999995,13596.492779999999
External: Noise,0.0045,11649.815999999999,367.13141999999993,794.1563999999998,181.12247999999997,308.69055,13300.916849999998
External: Pollution,0.0031,8025.4288,252.91275599999997,547.08552,124.77326399999998,212.65348999999998,9162.853829999998
,,,,,,,
User: Fixed + Variable (Cars),0.086,222640.92799999999,7016.289359999999,15177.211199999998,3461.4518399999993,5899.419399999999,254195.29979999995
User: Time,0.1,258884.80000000002,8158.476,17647.92,4024.9439999999995,6859.79,295575.93
,,,,,,,
Total Cost by Highway,0.2302,595952.8096,18780.811751999998,40625.51183999999,9265.421088,15791.236579999997,680415.7908599998
,,,,,,,
Cost per passenger kilometer traveled,,0.23020000000000002,0.2302,0.2302,0.23020000000000002,0.2302,0.23019999999999996
,,,,,,,
External Cost per Highway Trip,,21.7994,9.370200000000002,12.429200000000002,14.8764,6.923000000000002,20.45733693975285
Internal Cost per Highway Trip,,134.046,57.617999999999995,76.428,91.476,42.57,125.7935625487908
Full Cost per Highway Trip,,155.8454,66.98819999999999,88.85719999999999,106.3524,49.492999999999995,146.25089948854364
,,,,,,,
note: see chapter 4 for details; full costs in thousands; pkt assumes % diverted from HSR estimated by authors,,,,,,,
